ds,yhat,yhat_lower,yhat_upper
2024-09-30,4501548.647447124,3941117.169681294,5100441.80055957
2024-10-01,4389785.355282303,3829029.0158765223,4935978.963850242
2024-10-02,4451757.905018115,3885991.133803827,5009382.921500384
2024-10-03,4315171.737300223,3722720.3236864964,4842289.772749088
2024-10-04,4216089.749418864,3651325.4997900696,4786769.408959703
2024-10-05,4700266.090617746,4116836.818605379,5270206.965613624
2024-10-06,4870582.362909079,4317074.20925374,5472104.20630371
2024-10-07,4109095.6631614105,3552643.206815696,4684445.923624173
2024-10-08,4026508.5445263367,3451201.004678118,4604589.113507181
2024-10-09,4121108.1711614346,3531468.0348235224,4728697.374808695
2024-10-10,4019852.3125160104,3423860.4234653884,4575222.312082102
2024-10-11,3958027.9624419548,3415920.0244631437,4553299.123584459
2024-10-12,4480603.55921403,3891864.400780409,5059519.621604245
2024-10-13,4689683.458419207,4083293.790676405,5219791.587308219
2024-10-14,3966573.6386978836,3390304.6255919836,4494609.903574952
2024-10-15,3921268.28690804,3362221.8955920595,4458029.908914976
2024-10-16,4051404.13450009,3489763.9730263073,4602793.398785593
2024-10-17,3983359.8326337375,3440775.2669754587,4581894.516234834
2024-10-18,3951925.8437677165,3414446.9225145667,4488477.456263879
2024-10-19,4501665.577499788,3966870.3397937343,5048711.5583600635
2024-10-20,4734376.238460005,4174387.9209594517,5286615.664263771
2024-10-21,4031158.2538727554,3476865.696016028,4615276.581280877
2024-10-22,4001902.883260252,3392135.719518101,4557216.082084587
2024-10-23,4144244.913227629,3588773.7678033044,4760556.35428086
2024-10-24,4084657.8235138855,3515212.362244579,4638802.109820164
2024-10-25,4058117.0704568597,3464204.372508326,4621553.463794795
2024-10-26,4609452.443702041,4052361.049891758,5231866.737846302
2024-10-27,4840798.247514184,4259934.531460847,5405916.834499429
2024-10-28,4133650.504063849,3541080.539736045,4694338.624251073
2024-10-29,4098341.14774613,3530673.4961986593,4642441.794614387
2024-10-30,4232976.505491001,3682013.7300152457,4819810.719761369
2024-10-31,4164517.858378909,3585835.063358536,4762042.03706157
2024-11-01,4128430.1406802083,3527687.7477193167,4713286.665787172
2024-11-02,4670020.136346312,4111661.8552315338,5231892.33631228
2024-11-03,4891873.308759096,4288835.470285907,5478227.331493569
2024-11-04,4175898.8160545137,3610684.3283435106,4731110.987031965
2024-11-05,4132792.9972124943,3535815.595611058,4689090.684371727
2024-11-06,4260968.892456471,3682284.673952734,4844013.697085768
2024-11-07,4187629.8075249195,3571842.037792794,4729173.411802439
2024-11-08,4148413.1325033703,3567117.6381389257,4690770.311895273
2024-11-09,4688725.8665010035,4133076.3456951324,5238543.637945826
2024-11-10,4911181.010075181,4352709.71466521,5486126.31708236
2024-11-11,4197644.339123205,3630785.8664332973,4801131.839221828
2024-11-12,4158701.743476619,3590968.1157012964,4746384.009155967
2024-11-13,4292594.532263991,3692949.8886381886,4850088.616817951
2024-11-14,4226300.503912967,3656674.529060872,4780552.407241113
2024-11-15,4195186.723568128,3627504.5785091217,4800770.16480517
2024-11-16,4744355.165250105,4193038.1308086026,5334724.751408325
2024-11-17,4976090.047877145,4452590.100348079,5545046.750574829
2024-11-18,4271916.030520607,3683608.049651839,4849756.925779668
2024-11-19,4242077.092432102,3696410.8695393177,4826277.083402495
2024-11-20,4384483.144621291,3847884.1237185863,4990705.440207703
2024-11-21,4325801.824271497,3757462.209790625,4879457.486291976
2024-11-22,4301121.100154938,3714007.7427754547,4829454.782849316
2024-11-23,4855303.550881801,4279323.419586471,5400851.783500169
2024-11-24,5090440.8996501705,4504922.408844441,5654997.688653866
2024-11-25,4387917.768020733,3847690.683244759,4952248.652352191
2024-11-26,4357894.326008041,3798163.6827895474,4927654.699343974
2024-11-27,4498254.793093158,3905277.980632249,5060060.493575375
2024-11-28,4435699.208772632,3875478.0204206514,4980008.062484754
2024-11-29,4405404.127712414,3836977.6662516166,4994726.274638659
2024-11-30,4952373.186735554,4390178.318618244,5541009.865506349
2024-12-01,5178886.26768577,4596026.4680906795,5783542.004143128
2024-12-02,4466556.410547049,3908913.3430551067,5069333.3937389515
2024-12-03,4425804.389358121,3898211.4691897505,4990917.249565486
2024-12-04,4554798.178426479,4003101.217276444,5126197.004972838
2024-12-05,4480535.029428983,3932062.016204307,5038263.2150288485
2024-12-06,4438492.132736261,3905393.347944492,4980771.613277751
2024-12-07,4973967.141165984,4423191.920200712,5564944.728350154
2024-12-08,5189517.607137306,4647952.751233637,5743779.231101915
2024-12-09,4467008.804300365,3889237.3082010844,5065766.894976138
2024-12-10,4417080.1415054025,3873446.541518868,5039115.231671777
2024-12-11,4538077.661780743,3994839.688132675,5140417.15709641
2024-12-12,4457130.5724652335,3895319.7839089893,5027797.832322372
2024-12-13,4409797.962615633,3875024.8285794845,4941880.326575776
2024-12-14,4941406.576758067,4348756.921884122,5520166.203437683
2024-12-15,5154491.45596856,4635547.711177565,5766551.089242349
2024-12-16,4430843.5644415,3865183.544833248,5022147.174785256
2024-12-17,4380979.937074956,3771131.6289927117,4957230.823312204
2024-12-18,4503081.0570697645,3899925.4343878184,5080536.7843462005
2024-12-19,4424073.793281479,3854240.2368742195,4950313.686788287
2024-12-20,4379285.850223877,3865771.356132193,4976948.764313462
2024-12-21,4913792.889785322,4341083.332265538,5507369.720381159
2024-12-22,5129867.167614457,4627936.459912235,5689155.289304534
2024-12-23,4409036.8607284585,3826747.711658851,4951460.853618281
2024-12-24,4361565.923071365,3765590.4323864756,4852519.873337253
2024-12-25,4485401.525105951,3921492.863925894,5039989.547569974
2024-12-26,4407266.535250694,3823939.1194750443,4938701.045314091
2024-12-27,4362322.672375746,3812405.5532053835,4948248.358195249
2024-12-28,4895525.18902753,4351426.3740746295,5450484.310026678
2024-12-29,5109077.659850297,4580598.215332501,5685383.040982092
2024-12-30,4384495.824343951,3809316.642723901,4954241.441686293
2024-12-31,4332090.141387494,3771866.132433075,4903727.240117533
2025-01-01,4449913.986419233,3868727.047889136,5000268.948725082
2025-01-02,4364854.882065393,3781466.9473988162,4959717.9068395095
2025-01-03,4312294.386949928,3765001.553634868,4871077.22424546
2025-01-04,4837457.5584788695,4289917.256055946,5404708.926946361
2025-01-05,5042860.682764807,4463243.635671514,5587003.228218377
2025-01-06,4310366.3980478505,3763109.0608315966,4902860.224154794
2025-01-07,4250656.099420323,3662054.651598153,4786900.6985011455
2025-01-08,4362166.835454909,3782883.325873415,4917137.835694367
2025-01-09,4272170.406516952,3720182.1369685875,4791443.453491711
2025-01-10,4216420.640245192,3618988.0688061155,4773343.498992407
2025-01-11,4740490.132184234,4179461.968169947,5313008.494386565
2025-01-12,4947205.527682496,4433958.1345778145,5528020.011573656
2025-01-13,4218690.853671489,3639675.4296177253,4754624.361489868
2025-01-14,4165829.1598284757,3564739.8886180753,4692023.728950095
2025-01-15,4287190.027681942,3716932.9622301213,4847978.764740388
